Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,
Common Cold, continuous_sneezing,sore_throat,hoarse_voice,feeling_tired,high_temperature,blocked_nose,runny_nose,muscle_pain,loss_of_taste ,loss_of_smell,,,,,,,
Diabetes ,lethargy,excessive_hunger,increased_appetite,often_thirsty,often_urinate,blurred_and_distorted_vision,weight_loss,obesity,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhea,sunken_eyes,chest_pain,upset_stomach,headache,,,,,,,,,,
Bronchial Asthma,fatigue,wheezing,breathlessness,tight_chest,persistent_cough,high_fever,family_history,,,,,,,,,,
Hypertension,chest_pain,dizziness,difficulty_breathing,abnormal_heart_rhythm,blurred_vision,loss_of_balance,anxiety,headache,vomiting,nausea,tinnitus,nosebleeds,,,,,
Chicken pox,high_fever,loss_of_appetite,malaise,red_spots_over_body,spots_over_body_fill_with_fluid ,itchy_blisters,spots_over_body_leak_fluid,swelled_lymph_nodes,headache,lethargy,,,,,,,
Tuberculosis,prolonged_cough,chest_pain,fatigue,yellowing_of_eyes,breathlessness,sweating,loss_of_appetite,phlegm,night_sweats,chills,vomiting,swelled_lymph_nodes,malaise,high_fever,weight_loss,blood_in_sputum,
Pneumonia,cough,chest_pain,breathlessness,high_fever,wheezing,fast_heart_rate,rusty_sputum,phlegm,fatigue,sweating,aching_body,chills,feeling_confused,,,,
Hypothyroidism,weight_gain,depression,joint_pain,muscle_pain,dry_skin,swollen_extremeties,fatigue,cold_hands_and_feets,enlarged_thyroid,dizziness,muscle_cramps,slow_movements,slow_thoughts,abnormal_menstruation,slowed_heart_rate,,
Arthritis,joint_pain,stiff_neck,painful_walking,muscle_weakness,swelling_joints,movement_stiffness,inflammation_joint,warm_red_skin_over_the_affected_joint,muscle_wasting,,,,,,,,
Lower Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing,frequent_urination,bladder_discomfort,cloudy_urine,foul_smelling_urine,blood_in_urine,tired,,,,,,,
Upper Urinary tract infection,continuous_feel_of_urine,lower_belly_pain,burning_micturition,pain_when_peeing,frequent_urination,bladder_discomfort,cloudy_urine,high_temperature,pain_in_back ,blood_in_urine,shivering,confusion,agitation,,,,
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Chronic Kidney Disease,frequent_urination,weight_loss,blood_in_urine,itchy_skin,tiredness,nausea,insomnia,shortness_of_breath,swollen_ankles,headaches,erectile_dysfunction,muscle_cramps,,,,,
Autoimmune Diseases,fatigue,tiredness,joint_pain,stiffness,muscle_aches,skin_change,shortness_of_breath,loss_of_appetite,,,,,,,,,
Stroke,vision_impairment,headache,numbness,confusion,memory_loss,trouble_walking,trouble_speaking ,feeling_dizzy,falling_over,facial_paralysis,arm_paralysis,leg_paralysis,,,,,
Coronary Artery Disease,angina,shortness_of_breath,pain_in_your_neck,pain_in_your_shoulders,pain_in_your_jaw,pain_in_your_arms,nausea,cold_sweat,feeling_faint,,,,,,,,
Inflammatory Bowel Disease (IBD),tummy_pain,diarrhea,blood_in_stool,mucus_in_stool,loss_of_appetite,weight_loss,extreme_tiredness,joint_pain,night_sweats,skin_rash,fever,,,,,,
Migraine,stiff_neck,excessive_hunger,visual_disturbances,dizziness,indigestion,headache,blurred_and_distorted_vision,changes_in_the_mood,difficulty_speaking,numbness,,,,,,,
