Disease,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5
Allergy,Know what cause your allergy and try to stay away from it.,,,,
Common Cold,Washing your hands with warm water and soap.,Hot sharing towels or household items (like cups or children's toys) with someone who has a cold.,Not touching your eyes or nose in case you've come into contact with the virus.,Staying fit and healthy.,
Diabetes ,Monitoring your blood sugar (glucose) is key to determining how well your current treatment plan is working. ,People with Type 1 diabetes need to inject synthetic insulin to live and manage diabetes. Some people with Type 2 diabetes also require insulin.,"Meal planning and choosing a healthy diet for you are key aspects of diabetes management, as food greatly impacts blood sugar.",,
Gastroenteritis,Skip eating spice foods.,,,,
Bronchial Asthma,"Asthma cannot be cured but there are several treatments available. The most common treatment is to use an inhaler, which delivers medication directly to the lungs.",,,,
Hypertension,Rest until you feel better.,,,,
Chicken pox,vaccine,,,,
Tuberculosis,"No house treatment, Meet a doctor as soon as possible. ",Making sure you take all of your medication correctly.,,,
Pneumonia,Rest until you feel better.,Drink plenty of fluids.,Cover your mouth and nose with a tissue when you cough or sneeze.,Put used tissues in the bin as quickly as possible.,Wash your hands regularly with water and soap.
Hypothyroidism,Meet a doctor as soon as possible.,,,,
Arthritis,,,,,
Lower Urinary tract infection,,,,,
Upper Urinary tract infection,,,,,
Psoriasis,,,,,
Chronic Kidney Disease,,,,,
Autoimmune Diseases,,,,,
Stroke,,,,,
Coronary Artery Disease,,,,,
Inflammatory Bowel Disease (IBD),,,,,
Migraine,,,,,
